回复数,标题,Tid
13,以前我举报过这个吧,7864661189
39,东莞理工有，佛带无？,7854227271
22,请问佛大改名成功了么,7216282320
37,大伙们怎么看,7864455678
53,有没有没找到工作的师弟，来tcl当厂狗,7734383064
577,记录佛科院的日子,5967240519
4,🥵🥵🥵,7864804710
20,在佛大心理压力大怎么办？,7864304057
8,大家复习高数有看过猴博士的速成课吗,7864898794
2,佛山放假大学,7864960343
20,我宣布向仲恺农业工程学院宣战,7864710142
24,佛带是这样吗,7849401845
32,据路边社消息，佛科院9月31日改名,7859297933
5,核酸抽检不去会怎样,7864976504
11,没佛山居住证咋上电动车牌,7862971191
10,仙溪图书馆空调还没修好吗,7864721782
35,有人实习或毕业租非城中村的吗？,7856276344
71,甚至在广东人眼里我们都是大专,7848247273
6,求助普通话考试！,7863605953
5,我想问问军事理论就那个军事理论报告和互评没做然后其他都做了，,7398966539
6,明天要高考了，鼠鼠今晚才开始复习能考上佛带吗,7864486587
18,佛科院小同学,7864082330
8,鼠鼠我啊，最喜欢助人为乐了,7864353061
63,这个瓜真的假的,7292178000
0,有无在商业街租房子的同学,7864855282
3,又是一年毕业季，回来看看师弟师妹,7858892277
7,实践周,7861580090
7,xdm什么时候放假啊,7864059872
16,有大哥大姐知道期末考试时间吗？急,7864335535
14,宿舍环境怎么样,7859087415
14,这个暑假给不给留校,7862140111
11,室友突然发飙，吓死了，要不要换宿舍,7863394227
26,毕业四级要求,7851075054
15,不会是我们吧,7852146253
26,大声说出那个字,7864119137
79,关于近期改名贴的思考,7754869624
28,大伙的相册一共有多少张照片捏？,7864063480
2,找6.7号一起去广东中烟考试的同学！,7864225522
37,广州🐭🐭到贵校一游捏,7856077016
28,看到大伙都没准备好四六级我就放心了,7861848617
1,仙溪出洗衣机。,7863719542
103,关于一些自己在佛大的转专业兼职考证学习感情生活上的记录贴,7696724859
6,朋辈小屋拍了拍你,7864339208
8,学校还有环保协会吗？,5876324643
29,佛山科学技术学院自动化专业就读体验 #学长学姐说专业#,7844075054
10,吃了两天大餐，回到学校,7864149529
3,毕业清仓价,7863621032
3,有没有仙溪的同学有电烙铁的,7861717401
,,
14,不用的书籍怎么处理,7858944062
8,懂装机的同学可以帮帮忙吗,7862211447
9,【江湾招新】朋辈心理辅导机构拍了拍你,6975805068
14,求助！,7780388555
6,自习室要是有空的桌椅，可以直接用吗,7864042211
1,贵校的口腔医学怎么样的？,7864074222
6,端午上广州玩需要请假吗,7860393242
55,饿了饿了，下来挑份外卖,7855397358
2,分享下美食…,7863865280
13,阿叔水果档视频,7853690322
,,
14,明天有人一起爬西樵山或者去体育中心游泳吗,7861721995
